,index,site_id,n_obs,rmse_ealstm,rmse_xgboost,rmse_lm
41,0,nhdhr_107832143,1,0.11335693359374943,0.6099885559082026,1.8879583011092649
42,0,nhdhr_{22431A17-1807-4885-BFD8-2BF53521E448},2,1.6389905291473075,1.941842283205867,2.347550184372937
43,0,nhdhr_34126462,77,1.9435310050967287,2.328331138384462,2.597812671995281
44,0,nhdhr_107742879,1,2.2859863281249986,1.9898227691650376,2.5690848425442354
45,0,nhdhr_112691380,2,0.6133763536398474,1.0113437582920801,1.6208659925235136
46,0,nhdhr_41964089,18,1.079529852896666,1.1842888037360477,1.485281648460621
47,0,nhdhr_117034847,1,1.131242904663086,1.0635644531250001,0.3847337950225018
48,0,nhdhr_129754828,2,0.6420023622831702,3.7094135489836857,3.386345144285067
49,0,nhdhr_136693185,13,3.8025114719552082,2.9994597234020657,4.086541138162652
50,0,nhdhr_62965803,2,1.4177162034362538,2.507285468196438,3.854261902962783
51,0,nhdhr_107779457,2,0.34050178110122786,2.638820103565597,2.4253854669650354
52,0,nhdhr_59747403,1,0.3597888946533203,0.6208438873291016,0.1629667136166688
53,0,nhdhr_155351259,1,2.7847156524658203,2.4831714630126953,1.4606446728252251
54,0,nhdhr_38952979,1,1.1474910736083999,0.26312217712402486,1.2525050323657538
55,0,nhdhr_129755477,63,0.9505603760116481,1.7866257318755385,1.9431712786756679
56,0,nhdhr_34129033,14,1.8107036053484662,1.9728427272923204,2.37903694888986
57,0,nhdhr_58679405,1,1.2187042236328125,0.47739219665527344,0.11793853984337943
58,0,nhdhr_114543887,6,1.3589520531210755,2.908370833563904,3.3497297596630777
59,0,nhdhr_120819603,12,3.4929809663412694,2.056097267561306,4.323619536665178
60,0,nhdhr_112027929,51,0.8233205826418307,1.0706047938001804,1.9857758145671838
61,0,nhdhr_{EF4D04C6-7C6E-4F50-9C5E-34C39210A7EF},1,1.1648145294189476,0.665389480590818,0.6653917049908387
62,0,nhdhr_48806190,1,0.9938373565673828,0.6414890289306641,2.6345469005293296
63,0,nhdhr_129754378,1,3.2791338348388663,4.007823028564452,3.7096229638432376
64,0,nhdhr_112029049,4,0.2631121135660926,0.5497623817108491,0.9627921843854217
65,0,nhdhr_72862729,1,1.1399173736572266,2.939474105834961,4.801197325490335
66,0,nhdhr_76243212,3,1.3716423900517671,1.6878935874778673,2.266786871253391
67,0,nhdhr_129045087,1,0.5589340209960945,1.9146911621093743,2.642542082482361
68,0,nhdhr_150612812,14,1.4630928321552645,1.7906899559289748,1.6725962375245338
69,0,nhdhr_78643653,1,1.360334320068361,1.6675986480712908,2.3404514936352854
70,0,nhdhr_167296467,4,2.9802875349195634,1.9101240687807635,3.5602409299275313
71,0,nhdhr_113616531,1,1.1368637084960938,1.3387203216552734,2.0835539157885137
