,index,site_id,n_obs,rmse_ealstm,rmse_xgboost,rmse_lm
50,0,nhdhr_62965803,2,1.6670836820078576,2.507285468196438,3.854261902962783
51,0,nhdhr_107779457,2,1.0664830194264792,2.726714747645777,2.4253854669650354
52,0,nhdhr_59747403,1,0.16278648376464844,0.6208438873291016,0.1629667136166688
53,0,nhdhr_155351259,1,1.8358345031738281,2.4831714630126953,1.4606446728252251
54,0,nhdhr_38952979,1,0.9854541778564467,0.26312217712402486,1.2525050323657538
55,0,nhdhr_129755477,63,1.092141517236566,1.582055799522842,1.9431712786756679
56,0,nhdhr_34129033,14,1.9198660954017268,1.9728427272923204,2.37903694888986
57,0,nhdhr_58679405,1,0.6567764282226562,0.47739219665527344,0.11793853984337943
58,0,nhdhr_114543887,6,1.356539942407713,2.908370833563904,3.3497297596630777
59,0,nhdhr_120819603,12,3.428965944345935,2.056097267561306,4.323619536665178
60,0,nhdhr_112027929,51,0.6876441479963965,1.2303409038296589,1.9857758145671838
61,0,nhdhr_{EF4D04C6-7C6E-4F50-9C5E-34C39210A7EF},1,0.724237976074221,0.665389480590818,0.6653917049908387
62,0,nhdhr_48806190,1,0.1826038360595703,1.1979293823242188,2.6345469005293296
63,0,nhdhr_129754378,1,4.218071975708007,4.007823028564452,3.7096229638432376
64,0,nhdhr_112029049,4,0.38228240487906007,0.5497623817108491,0.9627921843854217
65,0,nhdhr_72862729,1,0.28957366943359375,3.434123992919922,4.801197325490335
66,0,nhdhr_76243212,3,1.084069110270396,1.6878935874778673,2.266786871253391
67,0,nhdhr_129045087,1,0.8675945281982429,1.9146911621093743,2.642542082482361
68,0,nhdhr_150612812,14,1.4223843819301425,1.7906899559289748,1.6725962375245338
69,0,nhdhr_78643653,1,0.9334029388427751,1.6675986480712908,2.3404514936352854
70,0,nhdhr_167296467,4,3.66842303680166,1.9101240687807635,3.5602409299275313
71,0,nhdhr_113616531,1,1.2725658416748047,1.3387203216552734,2.0835539157885137
72,0,nhdhr_35361065,60,1.615279642472754,1.777579501079019,2.54822391892569
73,0,nhdhr_36913486,1,2.726317977905275,1.6875549316406264,2.275078968018626
74,0,nhdhr_125971298,1,0.5020298004150376,0.01792297363281392,1.1913122756266787
75,0,nhdhr_122507901,3,1.9356171478881299,1.3018106437178463,4.275498383688767
76,0,nhdhr_{26FD46E6-DE81-4EFA-BC0D-784B5986876F},3,0.8487453773953522,2.3218873299245577,4.018095943192047
77,0,nhdhr_80997441,1,0.6268317413330067,0.2817051696777355,0.9299102176212841
78,0,nhdhr_108150235,1,1.944163131713868,1.4636543273925788,2.403785857139429
79,0,nhdhr_81002459,2,1.9041978716450858,2.12706622699882,2.1700887494874515
80,0,nhdhr_58677805,1,0.20361747741699077,0.5500644683837876,1.4799268024061334
81,0,nhdhr_114969041,1,0.28990737915039233,0.5494555664062517,1.4354128805299666
